code,description
30.30.5,Производство частей и принадлежностей летательных и космических аппаратов.
30.30.6,Производство беспилотных авиационных систем.
30.4,Производство военных боевых машин                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
30.40,Производство военных боевых машин.
30.9,"Производство транспортных средств и оборудования, не включенных в другие группировки                                                                                                                                                                                                                                                                                                                                                                                                                                "
30.91,Производство мотоциклов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
30.92,Производство велосипедов и инвалидных колясок.
30.92.1,Производство велосипедов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
30.92.2,Производство инвалидных колясок.
30.92.3,Производство частей и принадлежности велосипедов и инвалидных колясок                                                                                                                                                                                                                                                                                                                                                                                                                                               
30.92.4,Производство детских колясок и их частей                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
30.99,"Производство прочих транспортных средств и оборудования, не включенных в другие группировки."
31,Производство мебели.
31.0,Производство мебели.
31.01,Производство мебели для офисов и предприятий торговли.
31.02,Производство кухонной мебели.
31.02.1,"Производство кухонной мебели, кроме изготовленной по индивидуальному заказу населения."
31.02.2,Изготовление кухонной мебели по индивидуальному заказу населения.
31.03,Производство матрасов.
31.09,Производство прочей мебели.
31.09.1,"Производство прочей мебели, кроме изготовленной по индивидуальному заказу населения."
31.09.2,"Изготовление прочей мебели и отдельных мебельных деталей, не включенных в другие группировки по индивидуальному заказу населения."
32,Производство прочих готовых изделий                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
32.1,"Производство ювелирных изделий, бижутерии и подобных товаров."
32.11,Чеканка монет.
32.12,Производство ювелирных изделий и аналогичных изделий.
32.12.1,Производство изделий технического назначения из драгоценных металлов.
32.12.2,Производство изделий технического назначения из драгоценных камней                                                                                                                                                                                                                                                                                                                                                                                                                                                  
32.12.3,Обработка алмазов.
32.12.4,"Обработка драгоценных, полудрагоценных, поделочных и синтетических камней, кроме алмазов и янтаря; производство изделий из полудрагоценных, поделочных и синтетических камней, кроме янтаря."
32.12.5,"Производство ювелирных изделий, медалей из драгоценных металлов и драгоценных камней."
32.12.51,"Производство ювелирных изделий, медалей из серебра и драгоценных камней."
32.12.6,Изготовление ювелирных изделий и аналогичных изделий по индивидуальному заказу населения.
32.12.61,Изготовление ювелирных изделий и аналогичных изделий по индивидуальному заказу населения из серебра.
32.12.62,Изготовление ювелирных изделий и аналогичных изделий по индивидуальному заказу населения из золота.
32.12.7,Обработка янтаря и производство изделий из янтаря.
32.13,Производство бижутерии и подобных товаров.
32.13.1,"Производство бижутерии и подобных товаров, кроме изготовленных по индивидуальному заказу."
32.13.2,Изготовление бижутерии и подобных товаров по индивидуальному заказу населения.
32.2,Производство музыкальных инструментов                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
32.20,Производство музыкальных инструментов.
32.3,Производство спортивных товаров                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
32.30,Производство спортивных товаров.
32.4,Производство игр и игрушек.
32.40,Производство игр и игрушек.
32.5,Производство медицинских инструментов и оборудования.
32.50,Производство медицинских инструментов и оборудования.
32.9,"Производство изделий, не включенных в другие группировки."
32.91,Производство метел и щеток.
32.99,"Производство прочих готовых изделий, не включенных в другие группировки."
32.99.1,Производство головных защитных уборов и прочих средств защиты.
32.99.2,Производство пишущих принадлежностей.
32.99.3,"Производство зонтов, тростей, пуговиц, кнопок, застежек-молний."
32.99.4,Производство изделий из волоса человека или животных; производство аналогичных изделий из текстильных материалов.
32.99.5,Производство зажигалок и прочих курительных принадлежностей.
32.99.6,"Производство изделий для праздников, карнавалов или прочих изделий для увеселения."
32.99.7,"Производство приборов, аппаратуры и моделей, предназначенных для обучения и демонстрационных целей."
32.99.8,Производство изделий народных художественных промыслов.
32.99.9,"Производство прочих изделий, не включенных в другие группировки."
33,Ремонт и монтаж машин и оборудования                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
33.1,"Ремонт и монтаж металлических изделий, машин и оборудования                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
33.11,Ремонт металлоизделий.
33.12,Ремонт машин и оборудования.
33.13,Ремонт электронного и оптического оборудования.
33.14,Ремонт электрического оборудования.
33.15,Ремонт и техническое обслуживание судов и лодок.
33.16,"Ремонт и техническое обслуживание летательных аппаратов, включая космические."
33.17,Ремонт и техническое обслуживание прочих транспортных средств и оборудования.
33.19,Ремонт прочего оборудования.
33.2,Монтаж промышленных машин и оборудования.
33.20,Монтаж промышленных машин и оборудования
35,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха                                                                                                                                                                                                                                                                                                                                                                                                                                        "
35.1,"Производство, передача и распределение электроэнергии."
35.11,Производство электроэнергии.
35.11.1,"Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций."
35.11.2,"Производство электроэнергии гидроэлектростанциями, в том числе деятельность по обеспечению работоспособности электростанций."
35.11.3,"Производство электроэнергии атомными электростанциями, в том числе деятельность по обеспечению работоспособности электростанций                                                                                                                                                                                                                                                                                                                                                                                     "
35.11.4,"Производство электроэнергии, получаемой из возобновляемых источников энергии, включая выработанную солнечными, ветровыми, геотермальными электростанциями, в том числе деятельность по обеспечению их работоспособности."
35.12,Передача электроэнергии и технологическое присоединение к распределительным электросетям.
35.12.1,Передача электроэнергии.
35.12.2,Технологическое присоединение к распределительным электросетям.
35.13,Распределение электроэнергии.
35.14,Торговля электроэнергией.
35.2,Производство и распределение газообразного топлива.
35.21,Производство газа.
35.21.1,Газификация угля                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
35.21.11,Газификация антрацита                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
35.21.12,Газификация каменного угля за исключением антрацита                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
35.21.13,Газификация бурого угля (лигнита)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
35.21.2,Сжижение углей                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
35.21.21,Сжижение антрацита                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
35.21.22,Сжижение каменного угля за исключением антрацита                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
35.21.23,Сжижение бурого угля (лигнита)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
35.22,Распределение газообразного топлива по газораспределительным сетям.
35.22.1,"Распределение природного, сухого (отбензиненного) газа по газораспределительным сетям                                                                                                                                                                                                                                                                                                                                                                                                                               "
35.22.11,"Распределение природного, сухого (отбензиненного) газа по газораспределительным сетям по тарифам, регулируемым государством                                                                                                                                                                                                                                                                                                                                                                                         "
35.22.12,"Распределение природного, сухого (отбензиненного) газа по газораспределительным сетям по тарифам, не регулируемым государством                                                                                                                                                                                                                                                                                                                                                                                      "
35.22.2,Распределение сжиженных углеводородных газов по газораспределительным сетям                                                                                                                                                                                                                                                                                                                                                                                                                                         
35.22.21,"Распределение сжиженных углеводородных газов по газораспределительным сетям по тарифам, регулируемым государством                                                                                                                                                                                                                                                                                                                                                                                                   "
35.22.22,"Распределение сжиженных углеводородных газов по газораспределительным сетям по тарифам, не регулируемым государством                                                                                                                                                                                                                                                                                                                                                                                                "
35.23,"Торговля газообразным топливом, подаваемым по распределительным сетям."
35.23.1,"Торговля природным, сухим (отбензиненным) газом, подаваемым по распределительным сетям."
35.23.11,"Торговля природным, сухим (отбензиненным) газом, подаваемым по распределительным сетям по регулируемым государством ценам (тарифам)                                                                                                                                                                                                                                                                                                                                                                                 "
35.23.12,"Торговля природным, сухим (отбензиненным) газом, подаваемым по распределительным сетям по не регулируемым государством ценам (тарифам)."
35.23.2,"Торговля сжиженными углеводородными газами, подаваемыми по распределительным сетям."
35.23.21,"Торговля сжиженными углеводородными газами, подаваемыми по распределительным сетям по регулируемым государством ценам (тарифам)                                                                                                                                                                                                                                                                                                                                                                                     "
35.23.22,"Торговля сжиженными углеводородными газами, подаваемыми по распределительным сетям по не регулируемым государством ценам (тарифам)."
35.3,"Производство, передача и распределение пара и горячей воды; кондиционирование воздуха."
35.30,"Производство, передача и распределение пара и горячей воды; кондиционирование воздуха."
35.30.1,Производство пара и горячей воды (тепловой энергии).
35.30.11,Производство пара и горячей воды (тепловой энергии) тепловыми электростанциями.
35.30.12,Производство пара и горячей воды (тепловой энергии) атомными электростанциями                                                                                                                                                                                                                                                                                                                                                                                                                                       
35.30.13,Производство пара и горячей воды (тепловой энергии) прочими электростанциями и промышленными блок-станциями.
35.30.14,Производство пара и горячей воды (тепловой энергии) котельными.
35.30.15,Производство охлажденной воды или льда (натурального из воды) для целей охлаждения.
35.30.2,Передача пара и горячей воды (тепловой энергии).
35.30.3,Распределение пара и горячей воды (тепловой энергии).
35.30.4,Обеспечение работоспособности котельных
35.30.5,Обеспечение работоспособности тепловых сетей.
35.30.6,Торговля паром и горячей водой (тепловой энергией).
36,"Забор, очистка и распределение воды                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
36.0,"Забор, очистка и распределение воды."
36.00,"Забор, очистка и распределение воды"
36.00.1,Забор и очистка воды для питьевых и промышленных нужд.
36.00.2,Распределение воды для питьевых и промышленных нужд.
37,Сбор и обработка сточных вод                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
37.0,Сбор и обработка сточных вод.
37.00,Сбор и обработка сточных вод.
38,"Сбор, обработка и утилизация отходов; обработка вторичного сырья                                                                                                                                                                                                                                                                                                                                                                                                                                                    "
38.1,Сбор отходов.
38.11,Сбор неопасных отходов
38.12,Сбор опасных отходов.
38.2,Обработка и утилизация отходов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
38.21,Обработка и утилизация неопасных отходов
38.21.2,Захоронение неопасных отходов.
38.22,Обработка и утилизация опасных отходов.
38.22.1,Обработка и утилизация радиоактивных отходов                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
38.22.11,Деятельность по обращению с отработавшим ядерным топливом                                                                                                                                                                                                                                                                                                                                                                                                                                                           
38.22.12,Деятельность по обращению с особыми радиоактивными отходами                                                                                                                                                                                                                                                                                                                                                                                                                                                         
38.22.13,Деятельность по обращению с удаляемыми радиоактивными отходами                                                                                                                                                                                                                                                                                                                                                                                                                                                      
38.22.9,"Обработка и утилизация опасных отходов прочих, не включенных в другие группировки."
38.3,Деятельность по обработке вторичного сырья                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
38.31,"Демонтаж техники, не подлежащей восстановлению."
38.32,Утилизация отсортированных материалов.
38.32.1,Сортировка материалов для дальнейшего использования.
38.32.11,Сортировка металлических материалов для дальнейшего использования.
38.32.12,Сортировка неметаллических материалов для дальнейшего использования.
38.32.2,Обработка (переработка) лома и отходов драгоценных металлов.
38.32.3,"Заготовка, хранение, переработка и реализация лома и отходов черных металлов."
38.32.4,"Заготовка, хранение, переработка и реализация лома и отходов цветных металлов."
38.32.41,"Обработка отходов и лома металлов, содержащих медь                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
38.32.42,"Обработка отходов и лома металлов, содержащих никель                                                                                                                                                                                                                                                                                                                                                                                                                                                                "
38.32.43,"Обработка отходов и лома металлов, содержащих алюминий                                                                                                                                                                                                                                                                                                                                                                                                                                                              "
38.32.49,"Заготовка, хранение, переработка и реализация лома и отходов, содержащих прочие цветные металлы."
38.32.5,Обработка вторичного неметаллического сырья
38.32.51,Утилизация отходов и лома стекла во вторичное сырье.
38.32.52,Утилизация отходов бумаги и картона во вторичное сырье.
38.32.53,Утилизация отходов и лома пластмасс во вторичное сырье.
38.32.54,Утилизация отходов резины во вторичное сырье.
38.32.55,Обработка отходов текстильных материалов                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
38.32.59,Утилизация прочих вторичных неметаллических ресурсов во вторичное сырье.
39,"Предоставление услуг в области ликвидации последствий загрязнений и прочих услуг, связанных с удалением отходов                                                                                                                                                                                                                                                                                                                                                                                                     "
39.0,"Предоставление услуг в области ликвидации последствий загрязнений и прочих услуг, связанных с удалением отходов                                                                                                                                                                                                                                                                                                                                                                                                     "
39.00,"Предоставление услуг в области ликвидации последствий загрязнений и прочих услуг, связанных с удалением отходов."
41,Строительство зданий.
41.1,Разработка строительных проектов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
41.10,Разработка строительных проектов
41.2,Строительство жилых и нежилых зданий.
41.20,Строительство жилых и нежилых зданий
42,Строительство инженерных сооружений                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
42.1,Строительство автомобильных и железных дорог                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
42.11,Строительство автомобильных дорог и автомагистралей
42.12,Строительство железных дорог и метро.
42.13,Строительство мостов и тоннелей
42.2,Строительство инженерных коммуникаций                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
42.21,"Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения"
42.22,Строительство коммунальных объектов для обеспечения электроэнергией и телекоммуникациями.
42.22.1,Строительство междугородних линий электропередачи и связи.
42.22.2,Строительство местных линий электропередачи и связи.
42.22.3,Строительство электростанций.
42.9,Строительство прочих инженерных сооружений                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
42.91,Строительство водных сооружений.
42.91.1,Строительство портовых сооружений.
42.91.2,Строительство гидротехнических сооружений.
42.91.3,Строительство ирригационных систем.
42.91.4,"Производство дноочистительных, дноуглубительных и берегоукрепительных работ."
42.91.5,"Производство подводных работ, включая водолазные."
42.99,"Строительство прочих инженерных сооружений, не включенных в другие группировки."
43,Работы строительные специализированные                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
